work_id,author_hash,category
8205632,7abe2bdd5d53ab93ab67dfd08f070031,545
670656,34c09c9c0b59a96a3b4b805157aad14e,1
6572323,cb91f62e5679e91c3520440c017a1ecd,328
751060,abae6c6ecdbaf19fb236cb176f4aea2c,1305
537973,b810900c78a1e38bddbe133f4650ec67,65
781685,ae4b8f26dd7ef6310592c2754a2613cb,1
7089355,c403a0da23fb46ab6e901fc88427ff61,1532
152322,e7dfe088ee5557e891904e91b3b5fddc,1626
7104781,cb91f62e5679e91c3520440c017a1ecd,970
10976157,b54ac8beeaec5bfad7245d883c1ee031,478
5635363,226ce8aec98fe40b7c32a13a9d70ffc5,957
47307,477e7eb68e62e5e62a2aea1b82683341,1231
8164588,cf0a30042543c662cdcf611682108300,1
10787733,ebc3fb5d1b1f36f946e5cb1e128166f3,130
5922235,538f8fb0d71ab5546cf02533aff37bad,1532
798706,d99d390ecb48542037c00b9add9ff700,328
5902540,e45688a6ad1686224582539c724dca36,372
811260,d99d390ecb48542037c00b9add9ff700,245
2826023,d740b7b70bfb0d76d14bb6d3e6a01af7,532
7657969,359737e6bbd34d876a5a5cd639c13ec0,545
2505872,f9f2082ea6bc6d1a1190327db8f3df22,301
10077254,14a6c1f253f213b027f9f5487dc68982,1163
12006882,529c9f0f623f9adc7350b0531ad6d5c5,612
8209516,7abe2bdd5d53ab93ab67dfd08f070031,463
1830700,e45688a6ad1686224582539c724dca36,351
12405015,4915b5bc2a3eff58e0ba6372af6351ee,1540
8035366,4bbf13036799e264c6b5c7f98ca8a701,1515
14221149,044709c8b44d9de329d960593eae5be8,170
6329821,383c807b089db0e929c3726e7fa7d7c7,170
1980321,9d32d5e0febfb6617db45a5645b847b3,50
8662687,383c807b089db0e929c3726e7fa7d7c7,256
7890598,4bbf13036799e264c6b5c7f98ca8a701,158
8020201,ce1b7ef93f3cf1347e74c4f87c4592a1,1196
2606837,fc2282541e813df74f76177fc2eb8801,130
7807132,f31c77fd82218f02700720a54518f189,509
2382857,2f1bcb10471f15169707a25949221bea,1141
11216412,76bc2fe2202f4ea3b9262c5719e61046,57
9606506,2be4448f0345f9a276aba702e0f30db8,315
11206932,1f2ba471889d2cfd439cbdb392ab56e0,65
1333012,457302d5baf5733c19bc150ec3ebda39,65
237526,6302ff938b8f094814deba2dab782a6a,65
12776046,d3aa96d4e4e9e0fc412cb3a301a00a9c,1725
180965,2804a01e79fb0d07fe53716ee58cd6f2,1
6838729,1aecb0b28baa374aa247d5f180339ca3,302
13693182,18de5bbb2ff294025ae42507ea46bfbe,170
10788546,ebc3fb5d1b1f36f946e5cb1e128166f3,65
3623907,04c869622aa20834fe20b3c92ca2d350,248
2689541,17e1cd1913dde9ce224c391bc148b52a,524
9490799,2c7a9a6a2c8dfa3e1e4161eb9caa0799,87
758325,099263e86c8a2a756054f5deac5e033a,170
139011,31ac70d6b8fca5296dc9458e0c5fb693,667
839169,9937e729280cfd44b03a0882b78cf844,811
2484068,518b6bd769b34a21bb255380a8ce6366,170
961887,08ac3bdca7033ede0c0288381053ff6e,170
2084997,d0531f2c121c6ded4bb26d45155a4a4d,1272
13909653,4915b5bc2a3eff58e0ba6372af6351ee,1
13118358,d3e51fbd5e982dc65dc1fd54b0e476d2,781
8206244,7abe2bdd5d53ab93ab67dfd08f070031,550
106614,221b4323d888a390b34644515974e2b0,970
836269,f7b6443631bc1f0d3d2fec1dd2550b3a,513
555404,3c48ce0a581d3e15829e1972b5bc4e6c,121
8809465,3759b6e7b709254fc33b3ce8348a640c,14
1712486,a9f1a2a312aaf9fa2feff6b5e602120d,1085
177873,19dfb69d6e50a72c9a3977d8dc662dc7,1621
9913529,14a6c1f253f213b027f9f5487dc68982,65
12412575,4915b5bc2a3eff58e0ba6372af6351ee,393
9861590,6137ffc4892841e58eaa86bbdd7dc68a,1
12420804,4915b5bc2a3eff58e0ba6372af6351ee,315
14709326,7ad3f4821b7aa69ad5fc304b3693d67e,1
109072,383c807b089db0e929c3726e7fa7d7c7,1142
11453268,b264b2b357c8bbd8675f7c69b871204f,611
461717,6e34ae05950dc1553da64897cc0ddad2,1
9892244,14a6c1f253f213b027f9f5487dc68982,315
3705637,a3db5c6604fbfec2d7f95a4a87653bbd,1534
837238,d0531f2c121c6ded4bb26d45155a4a4d,791
10333682,9e75f131f6815f1524bfa2f42d1a7a46,656
390387,5f85f51314d4762716f61ad648c444a0,1
7357534,ef19efe6c42907f29754f555e3850e7c,1456
10810815,ebc3fb5d1b1f36f946e5cb1e128166f3,1591
362822,2fd89f7053c7ee17639827cf45314789,170
10787532,caf39371f1b93499e1e1df85b64208d1,315
9647024,2d6773b7fbf17cc575282bc03cf41db0,1291
839517,e35337fdc3df2675e2a5a8de43253c24,1
12153420,033b27db4f7999ce3fd6010bc1abc7c6,1682
2029143,e45688a6ad1686224582539c724dca36,590
9673103,0fccb7e4f957063605681c5f5d0c94c9,713
11014212,e6662662a3f90aa497566c9b4a32f2f7,471
10097177,14a6c1f253f213b027f9f5487dc68982,1317
45773,76a56b5b66776cc16f39aa61f00c5f3f,641
221196,04f8230fad3b8cf22d98897afbf47cc8,1829
578201,b0d86da2d5b3aa15b61df214489f7c12,1291
10811901,ebc3fb5d1b1f36f946e5cb1e128166f3,509
171224,ae3c1cd30e19b04e834e172137888876,1134
12766041,1e13fcddf31d9463aa8db9ecc01b000f,773
13276833,7f6528f1f25a0c06933b9f0d3bad2548,328
887410,52237644003fdbec377c188aa5a857b6,1
6105992,487d398136832af1ec6548043eb6f0af,351
23419,fdba112b8ccde367d9e64deab15a5886,1101
126372,6daa963bbb591ea8b5c4965a18cf25a0,957
6144166,0cadd3c3e40d09193785546f7139eea4,1757
12278295,d77278af701a676eaa453d007fe2e507,139
11221782,377e5325c7649d346b605bd9eb08e290,170
20382,00e45749508fe15ca1af3397eab8db78,252
10183751,14a6c1f253f213b027f9f5487dc68982,570
13950000,022a985992ee6fcb4f557574e57fc1be,799
1257991,b908bc20afe02e34c965ebe3716b1149,288
11886009,054651d47bcd6ee20b3d2dad06ff6fcd,209
7034170,0a7692b197f815658f21cf4acff3f8e6,1561
176930,9f16cc95cc76439a64c938543b818235,667
10697346,779b69725a41c014d7410f29800e7fe7,1
13596786,a28f786445c10695a9db7b92f1fa4c53,87
1429048,d8a02ff65f59fc5d5ad7fd4200fba3f4,970
7869709,4bbf13036799e264c6b5c7f98ca8a701,1
12373521,eba9359eb15df82201ab3f44a55a46ae,1142
13335159,79f7f0b3f926131e7e5840b09705a213,667
13265826,8e5ca057ecca692c409de5b2d91bf16c,76
8801308,b2627cc09ce491e2e4cc5002348175ae,47
13356858,497a46f0b83fb77fed564dd54f65f748,170
315640,3d56f813198911ff38e5139c9a18afb1,170
367356,eae18bc41e1434dd98fa2dd989531da8,283
145851,fbba373bda8fe3c2f54e0ddc9a71b93c,957
2956016,bfc59e8bcacd4c89b6aba0b2cbe32ddf,1
815920,b589bf5b05bdd5980848252d769572d7,104
4106326,0ab9aa08e30f31a8e0587246b75baaa1,305
7268701,bb86cc887197d953831c504bd35425e5,170
1939404,e45688a6ad1686224582539c724dca36,1025
764178,355a7c11518a51e5eabeabf81a95f8e5,1
9981614,14a6c1f253f213b027f9f5487dc68982,288
10031117,14a6c1f253f213b027f9f5487dc68982,459
1154472,c3b563a99ffe1fada8789263679afac9,1
12402216,4915b5bc2a3eff58e0ba6372af6351ee,357
13082124,e03d59e479643e5d4f4ffd9e80a6dc20,208
8168485,83264d169ccaf7af44388d83c94750d4,351
8892007,4ec18a2c501abebdb1e16083bfd80dd9,203
974785,0f7856e0a31998c3794e93344e4b10b6,167
5918482,538f8fb0d71ab5546cf02533aff37bad,288
400813,f4a36994ed1e003ec67444b9373e962c,1818
4633659,1fe60dfbd111947ef46909de1770b155,970
7559188,450eff1ce0b28f5228b9b819a2173f28,315
14135517,3759b6e7b709254fc33b3ce8348a640c,434
4170519,ce1b7ef93f3cf1347e74c4f87c4592a1,291
11923488,50188ba7307de81ea5257729f8923c3a,1
